quantile,us
0.0000,0
0.0100,0
0.0200,0
0.0300,0
0.0400,0
0.0500,0
0.0600,0
0.0700,0
0.0800,0
0.0900,0
0.1000,0
0.1100,0
0.1200,0
0.1300,0
0.1400,0
0.1500,0
0.1600,0
0.1700,0
0.1800,0
0.1900,0
0.2000,0
0.2100,0
0.2200,0
0.2300,1
0.2400,1
0.2500,1
0.2600,1
0.2700,1
0.2800,1
0.2900,1
0.3000,1
0.3100,1
0.3200,2
0.3300,2
0.3400,2
0.3500,2
0.3600,2
0.3700,2
0.3800,2
0.3900,3
0.4000,3
0.4100,3
0.4200,3
0.4300,3
0.4400,3
0.4500,3
0.4600,3
0.4700,3
0.4800,3
0.4900,4
0.5000,4
0.5100,4
0.5200,4
0.5300,4
0.5400,5
0.5500,5
0.5600,5
0.5700,5
0.5800,6
0.5900,6
0.6000,6
0.6100,7
0.6200,7
0.6300,7
0.6400,7
0.6500,7
0.6600,8
0.6700,8
0.6800,8
0.6900,8
0.7000,8
0.7100,9
0.7200,9
0.7300,9
0.7400,9
0.7500,10
0.7600,10
0.7700,10
0.7800,10
0.7900,11
0.8000,11
0.8100,11
0.8200,12
0.8300,12
0.8400,13
0.8500,13
0.8600,14
0.8700,14
0.8800,15
0.8900,15
0.9000,16
0.9100,17
0.9200,18
0.9300,18
0.9400,20
0.9500,21
0.9600,22
0.9700,24
0.9800,27
0.9900,32
